"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Teh Kotak","3MLhQ0DxZLCG7VJmhEHPLQB_7ZTXQJD3HXASGUDWSXPFX4I6","1","","4000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Hot Americano Regular Blend","3MLhQ0DxZLCG7VJmhEHPLQB_OKO6QWKKY67K5R3I7DFNGAX3","1","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","3","","7500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Shakerato","3MLhQ0DxZLCG7VJmhEHPLQB_QVXVJLCAC33VLZFEP7FSVKLC","1","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Black Coffee Arabica Standard Saring","3MLhQ0DxZLCG7VJmhEHPLQB_NABYULS2RCWTEI5DWOX2T2P3","1","","0","100","","","10","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","4","","10000","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Cafe Latte Regular Blend","3MLhQ0DxZLCG7VJmhEHPLQB_BKDIU2RUORCPWIVNECUAF43W","1","","0","100","","","10","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","3","","7500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Teh Kotak","3MLhQ0DxZLCG7VJmhEHPLQB_7ZTXQJD3HXASGUDWSXPFX4I6","1","","4000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Black Coffee Arabica Standard Saring","3MLhQ0DxZLCG7VJmhEHPLQB_NABYULS2RCWTEI5DWOX2T2P3","1","","0","100","","","10","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Black Coffee Arabica Standard Saring","3MLhQ0DxZLCG7VJmhEHPLQB_NABYULS2RCWTEI5DWOX2T2P3","1","","0","100","","","10","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Fresh Milk 1L","3MLhQ0DxZLCG7VJmhEHPLQB_E8767037-0894-49F0-BC66-FAF6381EA186","1","","20000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Hot Americano Regular Blend","3MLhQ0DxZLCG7VJmhEHPLQB_OKO6QWKKY67K5R3I7DFNGAX3","1","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Ice Americano","3MLhQ0DxZLCG7VJmhEHPLQB_64UXFBMVWTLJLSKLDJXAWUPL","1","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","3MLhQ0DxZLCG7VJmhEHPLQB_ZLLU24KKL5G7DD2DZS4KCJQD","3","","7500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Es Kopi Susu Aja","3MLhQ0DxZLCG7VJmhEHPLQB_74KRR56K7IQ2F3IA3QSIXMGY","2","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Kopi Susu Singkawang","3MLhQ0DxZLCG7VJmhEHPLQB_CBBAB001-19B2-4D33-AADE-12A946CFA5B4","1","","0","100","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Cafe Latte Regular Blend","3MLhQ0DxZLCG7VJmhEHPLQB_BKDIU2RUORCPWIVNECUAF43W","1","","0","100","","","10","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Black Coffee Arabica Standard Saring","3MLhQ0DxZLCG7VJmhEHPLQB_NABYULS2RCWTEI5DWOX2T2P3","1","","18000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","51xSIA379aL6tDq5nEKsKQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Ayam Geprek","51xSIA379aL6tDq5nEKsKQB_MDY4AF5WYLA5BCEKPIJAYZP3","1","","20000","0","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","51xSIA379aL6tDq5nEKsKQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","51xSIA379aL6tDq5nEKsKQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","51xSIA379aL6tDq5nEKsKQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","51xSIA379aL6tDq5nEKsKQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
"Penjualan Harian","","","","30/06/2019","30/06/2019","","","","","POS20190630-OTH","","","Air Mineral","51xSIA379aL6tDq5nEKsKQB_ZLLU24KKL5G7DD2DZS4KCJQD","1","","2500","50","","","0","","yes","Transfer Bank","1-10002","CUSTOM",""
