square_item_name,square_item_variant,square_item_modifier,jurnal_item_name
Iced Latte,Regular,,Iced Cafe Latte
Iced Latte,Flavor Banana,,Iced Cafe Latte Banana
Iced Latte,Flavor Caramel,,Iced Cafe Latte Caramel
Iced Latte,Flavor Hazelnut,,Iced Cafe Latte Hazelnut
Iced Latte,Flavor Vanilla,,Iced Cafe Latte Vanilla
Iced Latte (Gojek),Original,,Iced Cafe Latte (Gojek)
Iced Latte (Gojek),Banana,,Iced Cafe Latte Banana (Gojek)
Iced Latte (Gojek),Caramel,,Iced Cafe Latte Caramel (Gojek)
Iced Latte (Gojek),Hazelnut,,Iced Cafe Latte Hazelnut (Gojek)
Iced Latte Machiato,Regular,,Iced Latte Machiato
Iced Latte Machiato (Gojek),Regular,,Iced Latte Machiato (Gojek)
Iced Long Black,Regular,,Iced Long Black
Iced Long Black (Gojek),Regular,,Iced Long Black (Gojek)
Iced Matcha Latte,Regular,,Iced Matcha Latte
Iced Matcha Latte (Gojek),Regular,,Iced Matcha Latte (Gojek)
Iced Mochacino,Regular,,Iced Mochachino
Iced Mochacino (Gojek),Regular,,Iced Mochachino (Gojek)
Iced Red Velvet (Gojek),Regular,,Iced Red Velvet Latte (Gojek)
Iced Red Velvet Latte,Regular,,Iced Red Velvet Latte
Iced Taro Latte,Regular,,Iced Taro Latte
Iced Taro Latte (Gojek),Regular,,Iced Taro Latte (Gojek)
Iced Thai Tea Latte (Gojek),Regular,,Iced Thai Tea Latte (Gojek)
Indomie Goreng,Telur,,Indomie Goreng + Telur
Indomie Goreng,Telur & Nasi,,Indomie Goreng + Telur + Nasi
Indomie Goreng,Telur Nasi + Toping,,Indomie Goreng + Telur + Nasi + Toping
Indomie Goreng,Telur + Toping,,Indomie Goreng + Telur + Toping
Indomie Goreng,Reguler + Nasi,,Indomie Goreng + Nasi
Indomie Goreng,Regular,,Indomie Goreng Reguler
Indomie Kuah,Reguler + Nasi,,Indomie Kuah + Nasi
Indomie Kuah,Telur,,Indomie Kuah + Telur
Indomie Kuah,Telur + Nasi,,Indomie Kuah + Telur + Nasi
Indomie Kuah,Telur Nasi + Toping,,Indomie Kuah + Telur + Nasi + Toping
Indomie Kuah,Telur + Toping,,Indomie Kuah + Telur + Toping
Indomie Kuah,Regular,,Indomie Kuah Reguler
Jarr Cake,Black Forest,,Jarr Cake Black Forest
Jarr Cake,Matcha,,Jarr Cake Matcha
Jarr Cake,Strawberry Shortcake,,Jarr Cake Strawberry Shortcake
Jarr Cake,Oreo Cheesecake,,Jarr Cake Oreo Cheesecake
Jarr Cake (Gojek),Strawberry Shortcake,,Jarr Cake (Gojek) Strawberry Shortcake
Jarr Cake (Gojek),Black Forest,,Jarr Cake (Gojek) Black Forest
Jarr Cake (Gojek),Matcha,,Jarr Cake (Gojek) Matcha
Jarr Cake (Gojek),Oreo Cheesecake,,Jarr Cake (Gojek) Oreo Cheesecake
Jasa Pinjam Mesin Roasting,Regular,,Jasa Pinjam Mesin Roasting
Jasa Roasting,Regular,,Jasa Roasting
Java Ijen Natural 150 Gr,Regular,,Java Ijen Natural 150 Gr
Java Posong Natural 150 Gr,Regular,,Java Posong Natural 150 Gr
Kacang Goreng,Regular,,Kacang Goreng Budi
Kacang Telor,Regular,,Kacang Telur
Kentang Goreng,Regular,,Kentang Goreng Regular
Kentang Goreng,Keju,,Kentang Goreng Keju
Kentang Goreng,BBQ,,Kentang Goreng BBQ
Kentang Goreng,Balado,,Kentang Goreng Balado
Kentang Goreng,Jagung Bakar,,Kentang Goreng Jagung Bakar
Kentang Goreng (Gojek),Regular,,Kentang Goreng (Gojek)
Kerinci Kayu Aro Wethull 150 Gr,Regular,,Kerinci Kayu Aro Wethull 150 Gr
Kopi Hitam Arabica Saring (Gojek),Regular,,Kopi Hitam Arabica Saring (Gojek)
Kopi Hitam Arabica Tubruk (Gojek),Regular,,Kopi Hitam Arabica Tubruk (Gojek)
Kopi Hitam Robusta Sangrai (Gojek),Regular,,Kopi Hitam Robusta Sangrai (Gojek)
Kopi Hitam Robusta Tubruk (Gojek),Regular,,Kopi Hitam Robusta Tubruk (Gojek)
Kopi Susu,French Press,,Kopi Susu French Press
Kopi Susu,Klasik,,Kopi Susu Klasik
Kopi Susu,Vietnam Drip,,Kopi Susu Vietnam Drip
Kopi Susu (Gojek),Regular,,Kopi Susu (Gojek)
Kopi Susu Special,Kutai,,Kopi Susu Kutai
Kopi Susu Special,Singkawang,,Kopi Susu Singkawang
Latte Machiato,Regular Blend,Hot,Latte Machiato Regular Blend
Latte Machiato,Regular Premium,,Latte Machiato Regular Premium
Latte Machiato (Gojek),Regular,,Latte Machiato (Gojek)
Long Black,Regular Blend,Hot,Long Black Regular Blend
Long Black,Regular Premium,,Long Black Regular Premium
Long Black (Gojek),Regular,,Long Black (Gojek)
